,global_id,Наименование_поддержанной_компании,Отрасль,Подотрасль,Технология_(1_уровень),Технология_(2_уровень),Технология_(3_уровень),Сайт,Описание_компании
1434,1025975,"АО ""АНТИПЛАГИАТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Синтез информации,Искусственный интеллект,"Обработка естественных языков (перевод, классификация, кластеризация и другое)",www.antiplagiat.ru,"Антиплагиат — это лидер рынка России и стран СНГ по поиску заимствований в текстовых документах. Компания является разработчиком первой российской системы по обнаружению заимствований в курсовых работах, дипломах, диссертациях, научных статьях и отчетах."
52,810837,"АО ""АНТИПЛАГИАТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Обработка и преобразование информации,Обработка и хранение больших данных,Распределенные базы данных  и файловые системы,https://www.antiplagiat.ru,"«Антиплагиат» специализируется на решении проблем, связанных с плагиатом в научной и образовательной среде, на соблюдении авторских прав. Компания разработала первое российское решение по обнаружению текстовых заимствований, позволяющее быстро и качественно обнаруживать плагиат в текстовых работах, ориентированное на учебные заведения, научные организации, издательства, СМИ. Благодаря инновационным разработкам «Антиплагиат» предлагает: поиск переводных заимствований, самоцитирования, модули выде"
3053,1053344,"АО ""ВНИТЭП""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Обработка и преобразование информации,Интеллектуальные системы управления,Системы управления производственными процессами (MES),www.vnitep.ru,"АО ""ВНИТЭП"" более 20-ти лет занимается разработкой, созданием, поставками и обслуживанием высокотехнологичных промышленных станков лазерного раскроя металла, а также ряда сопутствующего оборудования. Создана команда высококвалифицированных специалистов, среди которых конструкторы, инженеры-технологи, программисты и пр. 
Конкурентоспособность выпускаемого оборудования подтверждена широкой географией поставок, включая США, ЕС, Тайвань... 
Ежегодные вложения сил и средств в R&D позволяют стабильно "
1616,1028849,"АО ""ВНИТЭП""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Обработка и преобразование информации,Интеллектуальные системы управления,Системы управления производственными процессами (MES),www.vnitep.ru,"АО ""ВНИТЭП"" более 20-ти лет занимается разработкой, созданием, поставками и обслуживанием высокотехнологичных промышленных станков лазерного раскроя металла, а также ряда сопутствующего оборудования. Создана команда высококвалифицированных специалистов, среди которых конструкторы, инженеры-технологи, программисты и пр. 
Конкурентоспособность выпускаемого оборудования подтверждена широкой географией поставок, включая США, ЕС, Тайвань... 
Ежегодные вложения сил и средств в R&D позволяют стабильно "
485,811304,"АО ""ГРУППА Т-1""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Обработка и преобразование информации,Обработка и хранение больших данных,Предсказательная аналитика,https://www.t1-group.ru,"Группа Т-1 решает проблему объективного контроля органами власти за выполнением контрактных обязательств перевозчиков на территории субъекта РФ на основании навигационных данных в едином информационном пространстве. Решение позволяет обеспечить доступ к общим некорректируемым данным для всех заинтересованных сторон, автоматически определять факт выполнения транспортной работы относительно контрактных показателей, предоставлять достоверную информацию о выполнении работ конечным потребителям услуг"
1950,1034697,"АО ""ГРУППА Т-1""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Синтез информации,Искусственный интеллект,Машинное обучение включая глубокое обучение и предиктивную аналитику,www.t1-group.ru,"Группа Т-1 решает проблему объективного контроля органами власти за выполнением контрактных обязательств перевозчиков на территории субъекта РФ на основании навигационных данных в едином информационном пространстве. Решение позволяет обеспечить доступ к общим некорректируемым данным для всех заинтересованных сторон, автоматически определять факт выполнения транспортной работы относительно контрактных показателей, предоставлять достоверную информацию о выполнении работ конечным потребителям услуг"
3016,1052785,"АО ""ГРУППА Т-1""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Обработка и преобразование информации,Обработка и хранение больших данных,Геоданные и геоинформационные технологии,www.t1-group.ru,"Компания присутствует на рынке с 2015 года и имеет обширный опыт разработки и продаж наукоемкой продукции для различных групп заказчиков: корпоративных транспортных парков
предприятий, администраций муниципальных образований и субъектов РФ. Опыт и положительная деловая репутация компании подтверждаются наличием крупного пула
действующих клиентов и рядом успешно реализованных проектов в интересах крупных государственных и муниципальных заказчиков.
Приоритетное направление развития бизнеса компани"
2717,1047806,"АО ""ДИАКОН-ДС""",ЗДРАВООХРАНЕНИЕ,Производство медицинских изделий для диагностики in vitro,Сбор информации об объекте,Физико-химические методы,Электрохимические методы диагностики,http://diakon-ds.ru,"АО «ДИАКОН-ДС» — признанный лидер в сфере производства медицинских изделий для in vitro диагностики. Основной бизнес компании — производство готовых к использованию жидких стабильных реагентов для диагностики основных аналитов в биологических жидкостях человека. На сегодняшний день компания выпускает АО «ДИАКОН-ДС» выпускает свыше 130 реагентов для определения более 50 показателей — наборы реагентов для биохимических исследований, иммунотурбидиметрические наборы, наборы для диагностики системы г"
1932,1034285,"АО ""ДИАКОН-ДС""",ЗДРАВООХРАНЕНИЕ,Производство медицинских изделий для диагностики in vitro,Сбор информации об объекте,Физико-химические методы,Регистрация и преобразование оптических сигналов,http://diakon-ds.ru,"АО «ДИАКОН-ДС» — признанный лидер в сфере производства медицинских изделий для in vitro диагностики. Основной бизнес компании — производство готовых к использованию жидких стабильных реагентов для диагностики основных аналитов в биологических жидкостях человека. На сегодняшний день компания выпускает АО «ДИАКОН-ДС» выпускает свыше 130 реагентов для определения более 50 показателей — наборы реагентов для биохимических исследований, иммунотурбидиметрические наборы, наборы для диагностики системы г"
1785,1031851,"АО ""ЗНТЦ""",ПРОМЫШЛЕННОСТЬ,Производство электронного и электрического оборудования,Обработка и преобразование информации,Обработка и хранение больших данных,Интегральные схемы микро- и нано- электроники,http://zntc.ru/,"Зеленоградский нантехнологический центр обеспечивает полный цикл разработки и производства микросхем и датчиков физических величин для промышленных применений, оказывает комплекс технологических услуг для дизайн-центров, производителей радиоэлектронной аппаратуры
Приоритетным направлением деятельности компании является развитие современных технологий производства и разработка перспективной высокотехнологичной продукции совместно с ведущими российскими научными организациями и производственными п"
